WeekDate,Lesson,Class,Teacher,Subject
Fri,8,12A13,F,Văn
Fri,8,12A14,Q,Tin học
Fri,8,12A15,K,Lý
Sat ,1,12A1,X,Công nghệ & hướng nghiệp
Sat ,1,12A2,O,Anh
Sat ,1,12A3,T,Thế chất
Sat ,1,12A4,Q,Tin học
Sat ,1,12A5,B,Toán
Sat ,1,12A6,H,Văn
Sat ,1,12A7,T,Thế chất
Sat ,1,12A8,R,Nghệ thuật
Sat ,1,12A9,S,GDCD
Sat ,1,12A10,P,Anh
Sat ,1,12A11,A,Toán
Sat ,1,12A12,T,Thế chất
Sat ,1,12A13,O,Anh
Sat ,1,12A14,D,Toán
Sat ,1,12A15,F,Văn
Sat ,2,12A1,N,Sinh
Sat ,2,12A2,T,Thế chất
Sat ,2,12A3,G,Văn
Sat ,2,12A4,K,Lý
Sat ,2,12A5,N,Sinh
Sat ,2,12A6,T,Thế chất
Sat ,2,12A7,L,Hóa
Sat ,2,12A8,N,Sinh
Sat ,2,12A9,F,Văn
Sat ,2,12A10,K,Lý
Sat ,2,12A11,K,Lý
Sat ,2,12A12,O,Anh
Sat ,2,12A13,T,Thế chất
Sat ,2,12A14,K,Lý
Sat ,2,12A15,Q,Tin học
Sat ,3,12A1,Q,Tin học
Sat ,3,12A2,X,Công nghệ & hướng nghiệp
Sat ,3,12A3,X,Công nghệ & hướng nghiệp
Sat ,3,12A4,A,Toán
Sat ,3,12A5,S,GDCD
Sat ,3,12A6,S,GDCD
Sat ,3,12A7,V,Địa
Sat ,3,12A8,I,Lý
Sat ,3,12A9,S,GDCD
Sat ,3,12A10,N,Sinh
Sat ,3,12A11,H,Văn
Sat ,3,12A12,C,Toán
Sat ,3,12A13,O,Anh
Sat ,3,12A14,U,Sử
Sat ,3,12A15,T,Thế chất
Sat ,4,12A1,C,Toán
Sat ,4,12A2,I,Lý
Sat ,4,12A3,H,Văn
Sat ,4,12A4,Q,Tin học
Sat ,4,12A5,R,Nghệ thuật
Sat ,4,12A6,S,GDCD
Sat ,4,12A7,U,Sử
Sat ,4,12A8,T,Thế chất
Sat ,4,12A9,P,Anh
Sat ,4,12A10,T,Thế chất
Sat ,4,12A11,O,Anh
Sat ,4,12A12,M,Hóa
Sat ,4,12A13,A,Toán
Sat ,4,12A14,V,Địa
Sat ,4,12A15,N,Sinh
Sat ,5,12A1,B,Toán
Sat ,5,12A2,A,Toán
Sat ,5,12A3,Q,Tin học
Sat ,5,12A4,A,Toán
Sat ,5,12A5,U,Sử
Sat ,5,12A6,U,Sử
Sat ,5,12A7,P,Anh
Sat ,5,12A8,P,Anh
Sat ,5,12A9,R,Nghệ thuật
Sat ,5,12A10,X,Công nghệ & hướng nghiệp
Sat ,5,12A11,O,Anh
Sat ,5,12A12,M,Hóa
Sat ,5,12A13,X,Công nghệ & hướng nghiệp
Sat ,5,12A14,E,Văn
Sat ,5,12A15,N,Sinh
